Category,Task,Status,Notes
Firestore Rules,Confirm client/admin update rule still cannot touch payment fields (only Admin SDK Cloud Functions can),DONE,Existing hasOnly(['status'`,'updatedAt']) update rule already covers this -- unchanged
Cloud Functions,createCashfreeOrder callable -- server-side Cashfree order creation using secret key; returns payment_session_id; retry-safe (reuses/re-mints Cashfree order id without duplicating the Firestore order),DONE,functions/index.js -- validated with `node --check` and a real `require()` load test (module loads and exports correctly)
Cloud Functions,verifyCashfreePayment callable -- fetches real payment status from Cashfree (never trusts client/SDK callback),DONE,functions/index.js
Cloud Functions,cashfreeWebhook HTTPS endpoint -- signature-verified (HMAC-SHA256+timingSafeEqual)`, idempotent`, never downgrades a PAID order,DONE,functions/index.js
Cloud Functions,onOrderCreated -- notify admin immediately for COD only; ONLINE orders wait for payment confirmation,DONE,functions/index.js
Cloud Functions,onOrderStatusChanged -- extended to also notify admin exactly once on the genuine PENDING->PAID transition for ONLINE orders,DONE,functions/index.js
Cloud Functions,Preserve existing restaurant-open + delivery-radius validation and re-check it defensively inside createCashfreeOrder too,DONE,functions/index.js -- validateOrderDelivery() reused
Cloud Functions,Keep Node 22 native fetch (no new npm dependency needed for HTTP calls to Cashfree),DONE,functions/package.json unchanged
Android Customer App,Add Cashfree Android SDK + Firebase Functions dependencies (version catalog + build.gradle.kts),DONE,gradle/libs.versions.toml + customer-app/build.gradle.kts
Android Customer App,CashfreeConfig (sandbox/production toggle only -- no secrets on client),DONE,core/payment/CashfreeConfig.kt
Android Customer App,CashfreeCheckoutBridge (MainActivity <-> CheckoutViewModel bridge for the SDK callback),DONE,core/payment/CashfreeCheckoutBridge.kt
Android Customer App,PaymentRepository interface + impl calling the two callables,DONE,domain/repository/PaymentRepository.kt + data/repository/PaymentRepositoryImpl.kt`, bound in RepositoryModule.kt
Android Customer App,MainActivity hosts CFCheckoutResponseCallback and launches Cashfree checkout on request,DONE,MainActivity.kt
Android Customer App,CheckoutScreen/ViewModel -- payment method selector (Online/COD)`, dual order flow`, granular progress states (creating/opening/awaiting/verifying)`, retry-without-duplicate-order`, duplicate-tap prevention`, network/failure/cancel/pending handling,DONE,CheckoutViewModel.kt + CheckoutScreen.kt fully rewritten
Android Customer App,Order History screen shows payment method/status,DONE,presentation/orders/OrderHistoryScreen.kt
Android Admin App,Orders list/detail shows Payment Method + Payment Status (and Cashfree payment ID when present),DONE,presentation/orders/OrdersScreen.kt
Documentation,README.md section 4 replaced (WhatsApp number -> Cashfree payment setup + data model + sandbox->production switch),DONE,README.md
Documentation,BUILD_GUIDE.md Step 9 + testing checklist + troubleshooting table + file map updated for Cashfree,DONE,BUILD_GUIDE.md
Build Verification,./gradlew :customer-app:assembleDebug,BLOCKED,"This sandbox's bash tool has no network access to Google's Maven (dl.google.com) or the Android SDK -- only a short allow-list (npm/pypi/github/crates) is reachable, so a real Gradle Android build cannot be executed here. Please run this yourself after downloading the ZIP; report back any compile error and it will be fixed immediately."
Build Verification,./gradlew :admin-app:assembleDebug,BLOCKED,Same network restriction as above -- admin-app changes are additive/small (UI only) so risk is low`, but still needs a real build to confirm.
Build Verification,functions/index.js dependency + syntax validation,DONE,"`node --check index.js` passed`, and a real `npm install` + `require('./index.js')` in this sandbox loaded every export (onOrderCreated`, onOrderStatusChanged`, onCouponTargeted`, onBroadcastCreated`, onRestaurantStatusChanged`, createCashfreeOrder`, verifyCashfreePayment`, cashfreeWebhook) with no errors. node_modules removed before packaging (not committed)."
Testing,Restaurant closed -> both ONLINE and COD blocked,TODO,Needs a real device + deployed Firebase project to exercise
Testing,Customer outside delivery radius -> both ONLINE and COD blocked,TODO,Needs a real device + deployed Firebase project to exercise
Testing,Customer inside delivery radius -> both options available,TODO,Needs a real device + deployed Firebase project to exercise
Testing,COD order -> created with paymentStatus=NOT_REQUIRED`, admin sees COD,TODO,Needs a real device + deployed Firebase project to exercise
Testing,ONLINE successful payment (Cashfree sandbox) -> server verifies -> paymentStatus=PAID -> admin sees ONLINE+PAID,TODO,Needs Cashfree sandbox credentials activated + deployed functions + a real device
Testing,ONLINE cancelled payment handled safely,TODO,Needs a real device + deployed Firebase project to exercise
Testing,ONLINE failed payment -- order not marked PAID,TODO,Needs a real device + deployed Firebase project to exercise
Testing,Duplicate tap -> no duplicate order/payment,TODO,"Code-level prevention in place (isBusy guard`, retry reuses same orderId/cashfreeOrderId) but not exercised on a real device"
Testing,Network/backend failure -> graceful recovery,TODO,Needs a real device + deployed Firebase project to exercise
Testing,App recreation/background-return during payment,TODO,"Code-level handling in place (CFPaymentGatewayService.setCheckoutCallback re-set in onCreate`, webhook as independent fallback) but not exercised on a real device"
Testing,Customer order history shows correct payment info,TODO,Needs a real device + deployed Firebase project to exercise
Testing,Admin order list/details shows payment method/status,TODO,Needs a real device + deployed Firebase project to exercise
Testing,Existing menu/cart/coupon/order functionality -- no regressions,TODO,Needs a real device + deployed Firebase project to exercise
Deployment,firebase functions:secrets:set CASHFREE_APP_ID / CASHFREE_SECRET_KEY,TODO,Run once against your real Firebase project
Deployment,firebase deploy --only functions,TODO,Run against your real Firebase project
Deployment,firebase deploy --only firestore:rules,TODO,Run against your real Firebase project (updated firestore.rules)
Deployment,Configure Cashfree dashboard webhook URL,TODO,Point at the deployed cashfreeWebhook HTTPS trigger URL
UI Redesign - Discovery,"Read README/BUILD_GUIDE, inspect customer-app architecture (navigation, ViewModels, repositories, Firestore models, Cashfree flow, COD flow, delivery-area/restaurant-status)",DONE,"Full read-before-code pass done: MenuScreen/ViewModel, CartViewModel/Repository, ProfileRepository/UserProfile, SettingsRepository, AuthRepository, CustomerNavGraph, MainActivity bottom nav, existing theme (Color/Type/Shape/Theme.kt) all reviewed before any edit"
UI Redesign - Discovery,Review all 20 UI reference images for design language,IN PROGRESS,"Reviewed Home screen reference in detail (golden/cream palette, greeting, delivery bar, promo banner, search, category icons, item grid) -- matches existing brand Color.kt already. Remaining screens' references to be reviewed phase-by-phase as each screen is redesigned."
UI Redesign - Environment,Confirm build/test capability in this chat session,BLOCKED (same as prior session),"This sandbox also has no network access to Google Maven/Android SDK -- cannot run ./gradlew here. User has chosen: Claude does full source-level redesign in chat, user builds/tests on their own machine periodically. Every phase below must be verified by the user with a real ./gradlew :customer-app:assembleDebug + manual screen check before moving to production."
UI Redesign - Design System,Create Dimens.kt (spacing/radius/elevation tokens),DONE,ui/theme/Dimens.kt -- new file. Central spacing scale so every screen pulls from one source instead of ad-hoc dp values.
UI Redesign - Design System,"Extend Color.kt with status-surface tones (warning/error/success, light+dark variants)",DONE,"Additive only -- existing PizzaGold/PizzaCrustBrown/PizzaBadgeRed brand colors untouched. Added PizzaWarning*, PizzaErrorSurface*, PizzaSuccessSurface* for banners/status chips in both themes."
UI Redesign - Design System,"Create AppComponents.kt reusable pieces: SectionHeader, StatusBanner (closed/offline), DeliveryAddressBar, CategoryIconChip, QuantityStepper, SoldOutChip",DONE,"presentation/components/AppComponents.kt -- new file. All driven by dynamic params, no hardcoded business data. NEEDS: user to build and eyeball on a real device/emulator (cannot render Compose previews in this sandbox)."
UI Redesign - Home/Menu Screen,"Add customer greeting (first name), default delivery address bar, restaurant-closed banner to Home",DONE,"MenuViewModel.kt extended: loads UserProfile once (name+default address) via existing ProfileRepository/AuthRepository, observes existing SettingsRepository.observeRestaurantStatus(). No new Firestore fields/collections added -- reused existing UserProfile.addresses and RestaurantStatus models exactly as-is."
UI Redesign - Home/Menu Screen,Redesign MenuScreen.kt as unified Home+Browse screen matching reference layout,DONE,"presentation/menu/MenuScreen.kt rewritten: header, address bar, closed banner (conditional), existing OffersCarousel (kept, already matched brand), search field, category rail with heuristic icons (icon choice only -- category name/list stays 100% dynamic from Firestore), menu grid with live quantity stepper."
UI Redesign - Home/Menu Screen,"Live add-to-cart quantity stepper on grid cards for simple (fixed-price, no customization) items",DONE,"MenuViewModel.quickAdd()/increment()/decrement() added, uses existing CartRepository.addOrIncrement/updateQuantity + CartItem.configKey identity (no changes to Room schema or CartRepository contract)."
UI Redesign - Home/Menu Screen,Items with variants/customizations route to MenuItemDetailsScreen instead of faking a quantity,DONE,"Cannot guess a variant/customization choice on the grid -- quickAdd() returns false for these, screen navigates to existing details screen instead. No functionality weakened."
UI Redesign - Navigation,Rename bottom-nav 'Menu' tab to 'Home' (icon+label only),DONE,"MainActivity.kt -- CustomerDestinations.MENU route/nav graph structure unchanged (per 'preserve existing navigation architecture'), only the tab's icon (RestaurantMenu -> Home) and label text changed since the screen now carries home-screen content."
UI Redesign - Home/Menu Screen,Wire DeliveryAddressBar tap -> Profile (existing address management UI),DONE,CustomerNavGraph.kt -- passes onOpenProfile navigating to existing PROFILE route/Delivery Addresses section. No new address-editing screen invented.
UI Redesign - Not yet done,Full delivery-radius (distance/location-permission) banner on Home,TODO,Deliberately deferred out of this phase -- needs LocationProvider + permission-request flow wired carefully to avoid duplicating/weakening the existing checkout-time validation. Will be done together with Checkout/Cart phase so location logic isn't split across two places.
UI Redesign - Not yet done,Category icon set review for non-food-generic category names,TODO,"Current heuristic covers pizza/burger/drinks/shakes/desserts/sides/combos + generic fallback icon. If admin adds very different category names, they'll still show correctly (just the generic fallback icon), verify visually once real data is loaded."
UI Redesign - Build Verification,./gradlew :customer-app:assembleDebug after Home/Menu phase,TODO (user to run),Please run on your machine and paste back any compile error -- will be fixed immediately in the next message.
UI Redesign - Design System,"Add AuthHeader, FormErrorBanner, FormInfoBanner reusable components",DONE,"presentation/components/AppComponents.kt extended (additive) -- shared branded header + consistent error/info banners for all form-style screens (auth now, checkout later)."
UI Redesign - Splash Screen,Add subtle brand-tinted gradient background behind existing Lottie/logo,DONE,"presentation/splash/SplashScreen.kt -- purely visual addition, zero changes to the existing reduced-motion / dual-wait (animation+auth) navigation logic."
UI Redesign - Login Screen,"Redesign with AuthHeader, rounded inputs, password show/hide toggle, styled error/info banners",DONE,"presentation/auth/LoginScreen.kt rewritten. LoginViewModel untouched -- same state fields (email/password/isLoading/errorMessage/loginSuccess/resetEmailSent), same login()/forgotPassword() calls. Password visibility toggle is new but purely local UI state, no backend/security impact (masking only)."
UI Redesign - Register Screen,"Redesign with rounded inputs, password toggle, styled info/error banners, cleaner spacing",DONE,"presentation/auth/RegisterScreen.kt rewritten. RegisterViewModel untouched -- same fields/register() call. 'Address asked at first checkout' notice kept exactly (matches existing intentional design decision, not a hardcoded fake feature)."
UI Redesign - Build Verification,./gradlew :customer-app:assembleDebug after Splash+Login+Register phase,TODO (user to run),Please build after copying this delta into your project; report any error and it will be fixed immediately.
UI Redesign - Next Phase,Profile screen redesign,TODO,"Reference image shows PizzaCoins/loyalty/saved-cards/favorites/returns sections that DO NOT exist in current backend (UserProfile model has no such fields) -- these will be deliberately left out per the dynamic-first/no-fake-data rule. Will restyle only what's real: profile header, edit form, saved addresses, order history link, theme setting, logout -- as a settings-list style matching the reference's visual language, not its exact feature set."
UI Redesign - Next Phase,Menu Item Details screen,TODO,Not started yet.
UI Redesign - Next Phase,Cart screen,TODO,Not started yet.
UI Redesign - Next Phase,Checkout screen (address/coupon/payment method/COD+Online flow),TODO,"Not started yet -- also where the deferred delivery-radius/location-permission Home banner will be added, so location logic lives in one place."
UI Redesign - Next Phase,Custom Cashfree-matching payment transition screens (creating/opening/awaiting/verifying/success/pending/failed),TODO,"Not started yet -- user specifically asked for this to feel seamless like Zomato/Swiggy, not a jarring handoff to Cashfree's default screen."
UI Redesign - Next Phase,Order History + Order Details + Notifications screens,TODO,Not started yet.
UI Redesign - USER FEEDBACK,"User reviewed Home reference screenshot again -- flagged that Phase-1 Home did NOT match the reference closely enough, and asked for delta-zips to stop (too hard to apply by hand)",ACKNOWLEDGED,"From this point on: (1) every delivered zip is the FULL project, changes already applied in place -- extract/overwrite the whole folder, not merge by hand. (2) Home screen rebuilt again, this time matching the reference layout element-by-element (see rows below)."
UI Redesign - Home Screen v2,Top bar: hamburger (opens quick-menu bottom sheet) + centered logo+wordmark + notification bell with badge,DONE,"presentation/menu/MenuScreen.kt HomeHeader(). Hamburger is real, not decorative -- opens ThemeSettingRow (existing) + Profile/My Orders/Notifications/Logout, all wired to existing screens/AuthRepository.logout()."
UI Redesign - Home Screen v2,"Greeting line separated from header, time-of-day aware (Good morning/afternoon/evening)",DONE,"GreetingRow() -- computed from device clock, not stored/fake data."
UI Redesign - Home Screen v2,Search bar: leading search icon + trailing filter/sort icon (was missing before),DONE,"Trailing icon opens a real Sort sheet: Relevance / Price Low-High / Price High-Low / Rating -- client-side sort over already-loaded dynamic items, not a fake button."
UI Redesign - Home Screen v2,Category chips: rounded-square icon tiles (was circles before) + 'View all' opens full category list,DONE,"CategoryIconChip shape changed to RoundedCornerShape(18dp). 'View all' -> AllCategoriesSheet, a real bottom sheet listing every dynamic category."
UI Redesign - Home Screen v2,"'Best Sellers' horizontal section with heart/favorite icon, star rating + review count, 'Bestseller' tag, circular add button",DONE,"New: rating/reviewCount/isBestseller added as OPTIONAL fields on MenuItem + MenuItemDto (default null/false -- old Firestore docs unaffected, nothing shows until an admin sets them). Section only renders when at least one item has isBestseller=true. Favorite heart is REAL, backed by a new local-only Room table (FavoriteEntity/FavoriteDao/FavoriteRepository) -- not synced to Firestore since no such feature existed; can be swapped to Firestore-backed later without touching any screen."
UI Redesign - Home Screen v2,'View all' next to Best Sellers scrolls straight to the full Menu grid below,DONE,Uses LazyGridState.animateScrollToItem with a precomputed index -- avoids a dead/decorative button.
UI Redesign - Data model,"Add rating: Double?, reviewCount: Int?, isBestseller: Boolean=false to MenuItem + MenuItemDto",DONE -- ADMIN APP NOTE,"Purely additive, backward compatible. IMPORTANT: Admin app has NO UI yet to set these 3 fields -- until that's added (or set manually in Firestore console), Best Sellers section + rating/bestseller badges simply won't appear anywhere, which is correct/safe behavior, not a bug. Flagging as a TODO below for when admin-app work is in scope."
UI Redesign - Local DB,"Add Room favorites table (version bump 1->2, fallbackToDestructiveMigration since it's a non-critical local cache, same as the existing Cart table)",DONE,"data/local/FavoriteDao.kt (new), PizzaTownDatabase.kt + DatabaseModule.kt updated. Cart table itself untouched/unaffected."
UI Redesign - Build Fix,Fixed a bug introduced in Phase 1 that was never caught: MenuViewModelTest.kt still called the old 2-arg MenuViewModel constructor and would NOT compile,FIXED,"This is exactly the kind of thing that only surfaces on a real ./gradlew build -- please DO run the build locally and paste back any error, that's how these get caught fast."
UI Redesign - Next Phase (unchanged plan),Admin app: add UI fields for rating/reviewCount/isBestseller on menu items,TODO,Needed before Best Sellers will actually show real data end-to-end.
UI Redesign - Next Phase (unchanged plan),"Profile, Menu Item Details, Cart, Checkout, Cashfree custom screens, Order History/Details, Notifications",TODO,Continuing in sequence as before -- next up after this Home revision is confirmed good.
